@relation segment

@attribute original numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Mitochondria,Background}

@data
62.138872,67.494395,142.240327,0.59777,73.846048,223.079193,-10.575285,-11.173055,73.994114,1397.35766,-25.229395,-25.827164,-14.654109,60.744381,2765.092244,Mitochondria
67.972154,71.627617,110.031661,-2.076461,77.397258,320.168311,-14.68987,-12.613409,74.660461,1345.865642,-30.063652,-27.987191,-15.373782,61.188105,2647.754071,Mitochondria
71.86095,77.605297,150.376612,-5.778338,82.627948,340.610731,-19.991673,-14.213335,75.866802,1332.601361,-36.032373,-30.254035,-16.0407,61.320503,2532.635034,Mitochondria
85.249924,87.883249,208.064688,-11.287256,89.679405,367.859637,-27.40019,-16.112935,77.01276,1364.775361,-44.214136,-32.92688,-16.813945,61.406828,2386.80597,Mitochondria
100.416382,99.121977,244.91063,-17.059877,97.059667,398.730119,-35.207039,-18.147162,78.26916,1475.623434,-52.844503,-35.784626,-17.637464,61.514432,2237.588899,Mitochondria
110.166321,109.932959,266.857639,-22.471126,106.083056,670.036135,-44.644126,-22.173,81.513651,2064.427406,-63.23579,-40.764662,-18.591662,60.775794,2026.222147,Mitochondria
135.999634,131.166382,806.88107,-33.498721,123.243417,1638.224057,-63.254858,-29.756137,88.68037,2359.833259,-83.471898,-49.973179,-20.217042,60.772495,1963.436197,Mitochondria
191.916733,174.205599,583.838092,-55.78678,150.478684,1321.69446,-94.156427,-38.369647,93.76614,1754.385914,-115.902905,-60.116126,-21.746479,59.394628,1847.667846,Mitochondria
168.584335,158.58963,986.963656,-45.155797,142.955551,1518.694138,-85.325803,-40.170005,96.583614,1485.618419,-107.686186,-62.530389,-22.360384,57.167439,1811.939077,Mitochondria
174.945143,163.283746,930.879795,-48.037091,146.109174,1390.814897,-88.946701,-40.90961,96.875971,1398.923015,-111.138978,-63.101887,-22.192277,57.101356,1796.327559,Mitochondria
161.667257,153.417056,1025.692925,-41.837013,140.752346,1454.996393,-82.967635,-41.130622,97.854344,1361.595276,-105.285204,-63.448191,-22.317569,56.336506,1802.443364,Mitochondria
148,141.75,941.849991,-34.805315,134,1352.205109,-75.721241,-40.915928,98.326921,1357.128204,-97.879902,-63.074588,-22.15866,55.617561,1810.919037,Mitochondria
135.667653,131.550721,836.895838,-28.249345,127.932031,1259.255809,-68.974954,-40.725612,98.82136,1378.033257,-91.118265,-62.868921,-22.143309,54.978037,1818.835285,Mitochondria
112,114.300001,517.175007,-18.847935,116.75,964.955109,-57.240493,-38.392559,96.65934,1494.634003,-78.994221,-60.146286,-21.753727,53.710087,1835.247162,Mitochondria
113.194054,113.33864,656.853971,-18.342596,113.683649,1020.746993,-55.952902,-37.610306,95.006684,1479.101546,-77.534935,-59.192336,-21.58203,52.544259,1858.835105,Mitochondria
110.75,109.750002,984.974991,-17.603138,107.615385,1313.419861,-51.873906,-34.270768,90.494507,1428.768158,-73.032479,-55.429339,-21.158571,52.976777,1884.648407,Mitochondria
111.415573,108.771529,1493.945348,-17.69604,105.315881,1682.791099,-50.759308,-33.063268,88.782589,1348.837579,-71.792108,-54.096067,-21.032799,53.115514,1921.376563,Mitochondria
97.5,98.550001,1434.224991,-13.465883,98.903847,1696.137817,-44.029459,-30.563575,85.881868,1331.993958,-64.623827,-51.157944,-20.594369,53.392597,2042.911072,Mitochondria
79.638307,85.427296,463.353907,-7.322476,92.144964,848.965322,-36.249944,-28.927468,83.369347,1308.324959,-56.640397,-49.317921,-20.390452,52.688275,2287.087228,Mitochondria
96.416672,94.416624,312.577227,-11.507658,94.647397,612.251037,-41.653017,-30.145359,83.496367,1274.35967,-62.418861,-50.911204,-20.765845,51.839282,2278.798835,Mitochondria
107.66684,107.916794,296.281198,-19.644652,106.820595,631.992757,-54.027628,-34.382976,86.44145,1396.175588,-75.527231,-55.88258,-21.499605,49.401803,2255.499686,Mitochondria
122.416901,121.483542,600.909867,-25.504179,118.730944,1074.596596,-65.338894,-39.834717,92.680472,1988.845056,-88.128183,-62.624004,-22.789286,48.892486,2284.965632,Mitochondria
141.500793,135.428497,647.99421,-31.608697,128.04547,1091.899962,-75.612379,-44.003685,97.527713,2444.352333,-99.408335,-67.799638,-23.795953,49.227058,2299.6482,Mitochondria
144.5,137.249998,595.375011,-32.323462,129.326921,1043.942314,-77.01633,-44.69287,98.472528,2698.798889,-101.168102,-68.844641,-24.15177,49.387518,2306.638306,Mitochondria
145.833527,142.083501,327.757156,-34.156998,135.705279,717.120101,-81.755488,-47.598494,103.056845,2925.299938,-107.209374,-73.052379,-25.453883,49.783736,2294.764873,Mitochondria
142.833435,140.150113,230.420858,-33.087022,134.679608,592.090651,-80.602087,-47.515068,103.397516,2876.392358,-106.407035,-73.320016,-25.804947,50.027575,2291.719044,Mitochondria
139.027662,136.077828,185.73149,-30.588215,131.472386,526.777869,-77.557405,-46.969191,103.27515,2797.685634,-103.68351,-73.095296,-26.126105,50.269283,2296.588288,Mitochondria
134.083527,132.766896,240.417274,-28.440541,129.980993,528.705827,-75.542541,-47.102,103.817818,2681.619165,-101.783613,-73.343073,-26.241072,50.139796,2304.03112,Mitochondria
133.666595,130.999995,229.250388,-27.466363,127.096219,511.704757,-73.412493,-45.946129,102.381016,2635.58849,-99.67361,-72.207247,-26.261118,50.336838,2305.053561,Mitochondria
131.999878,129.13327,253.984475,-25.978901,124.865382,430.945874,-71.464186,-45.485283,101.963421,2385.704074,-97.871858,-71.892957,-26.407676,50.286524,2308.613728,Mitochondria
0,0.516637,6.632932,14.308753,2.523455,41.292472,25.580528,11.271775,18.865698,680.416399,35.788636,21.479882,10.208107,29.097065,1281.139933,Background
0,1.550005,19.900009,12.946494,4.570526,79.77795,23.742412,10.795918,19.065949,673.641521,33.692068,20.745573,9.949655,28.872175,1263.512567,Background
0,3.083258,34.165833,11.859853,7.442183,127.771263,22.194033,10.33418,20.304014,706.761827,31.801705,19.941852,9.607671,29.698975,1319.213178,Background
40.999512,33.333069,279.657845,-2.035969,25.935777,359.148868,4.528292,6.564261,24.593391,788.381195,11.624191,13.660161,7.095899,32.331041,1571.555761,Background
18.833771,21.227934,248.647774,9.319492,21.999969,398.538945,13.967117,4.647625,32.98043,1054.910788,18.681203,9.361711,4.714086,36.750465,2312.938662,Background
53.554888,50.938534,959.584537,-9.435839,46.589547,980.903947,-8.658427,0.777411,35.048596,934.661113,-3.76596,5.669878,4.892467,39.675442,2723.687124,Background
55.583603,50.700129,520.610233,-11.898948,44.262842,723.617843,-9.824514,2.074434,29.711516,766.279401,-2.30559,9.593358,7.518924,37.079238,2430.899016,Background
39.694352,39.022194,414.938939,-6.458085,37.292753,733.423339,-2.685851,3.772234,27.69294,744.839627,6.346386,12.804471,9.032237,35.412911,2303.777199,Background
32.25,32,324.325005,-2.408979,31.942307,645.07692,2.759915,5.168894,26.587913,738.363312,12.822093,15.231072,10.062179,34.836356,2307.88208,Background
20.63878,21.677666,229.20173,2.554121,25.335441,428.574299,9.579823,7.025701,24.510997,717.117207,21.442686,18.888565,11.862864,33.074257,2107.763032,Background
15.250089,17.888922,216.958292,4.441855,23.14104,400.852251,12.311887,7.870032,23.982308,712.902427,24.757825,20.31597,12.445938,33.366873,2235.271746,Background
10.25,15.2,234.924999,5.124007,20.884615,443.679482,13.987371,8.863364,22.510989,663.380646,27.653364,22.529356,13.665993,32.671625,2178.534424,Background
